sink name,datatype,size,required,question,range,column id,mapping id,id,source name,sink missing value,function,args,source missing value,default value,
subjectkey,GUID,,Required,The NDAR Global Unique Identifier (GUID) for research subject,NDAR*,0,0,0,ursi,,,,,,
src_subject_id,String,20,Required,Subject ID how it's defined in lab/project,,1,0,1,twinv-adim_001t-1,,,,999,,
interview_date,Date,,Required,Date on which the interview/genetic test/sampling/imaging was completed. MM/DD/YYYY,,2,0,2,twinv-adto_002t-1,,,,999,,
interview_age,Integer,,Required,Age in months at the time of the interview/test/sampling/imaging.,0 :: 1260,3,0,3,twinv-adcu_003t-1,,,,999,,
gender,String,20,Required,Gender,M;F; T,4,0,4,twinv-adim_004t-1,,,,999,,
respondent,String,20,Required,Respondent,Mother;Father;Both; Child; Other,5,,5,twinv-adna_005t-1,,,,999,,
respondent_other_specify,String,50,Recommended,Respondent: Other (specify),,6,"0,1,2",6,twinv-adto_006t-1,,,,999,,
apsd_1,Integer,,Recommended,1. Blames others for his/her mistakes,0::2; 999,7,1,7,twinv-adcu_007t-1,9999,,,999,,
apsd_2,Integer,,Recommended,2. Engages in illegal activities,0::2; 999,8,2,8,twinv-adna_008t-1,9999,,,999,,
apsd_3,Integer,,Recommended,3. Is concerned about how well she/he does at school or work,0::2; 999,9,3,9,twinv-adim_009t-1,9999,,,999,,
apsd_4,Integer,,Recommended,4. Acts without thinking of the consequences,0::2; 999,10,"1,2,3,4,5",10,twinv-adna_010t-1,9999,sum,,999,,
apsd_5,Integer,,Recommended,5. His/her emotions seem shallow and not genuine,0::2; 999,11,5,11,twinv-adna_011t-1,9999,,,999,,
apsd_6,Integer,,Recommended,6. Lies easily and skillfully,0::2; 999,12,6,12,twinv-adcu_012t-1,9999,,,999,,
apsd_7,Integer,,Recommended,7. Is good at keeping promises,0::2; 999,13,7,13,twinv-adim_013t-1,9999,,,999,,
apsd_8,Integer,,Recommended,"8. Brags excessively about her/his abilities, acoomplishments, or possessions",0::2; 999,14,8,14,twinv-adna_014t-1,9999,,,999,,
apsd_9,Integer,,Recommended,9. Gets bored easily,0::2; 999,15,9,15,twinv-adna_015t-1,9999,,,999,,
apsd_10,Integer,,Recommended,10. Uses or cons other people to get what he/she wants,0::2; 999,16,10,16,twinv-adna_016t-1,9999,,,999,,
apsd_11,Integer,,Recommended,"11. Teases, makes fun of other people",0::2; 999,17,11,17,twinv-adim_017t-1,9999,,,999,,
apsd_12,Integer,,Recommended,12. Feels bad or guilty when she/he does something wrong,0::2; 999,18,12,18,twinv-adcu_018t-1,9999,,,999,,
apsd_13,Integer,,Recommended,13. Engages in risky or dangerous activities,0::2; 999,19,13,19,twinv-adcu_019t-1,9999,,,999,,
apsd_14,Integer,,Recommended,"14. Can be charming at times, but in ways that seem insincere or superficial",0::2; 999,20,14,20,twinv-adcu_020t-1,9999,,,999,,
apsd_15,Integer,,Recommended,15. Becomes angry when corrected or punished,0::2; 999,21,15,21,twinv-adcus_023t-1,9999,,,999,,
apsd_16,Integer,,Recommended,16. Seems to think that he/she is better than other people,0::2; 999,22,16,22,twinv-adcum_024t-1,9999,,,999,,
apsd_17,Integer,,Recommended,"17. Does not plan ahead or leaves things until the ""last minute""",0::2; 999,23,17,23,twinv-adtom_028t-1,9999,,,999,,
apsd_18,Integer,,Recommended,18. Is concerned about the feelings of others,0::2; 999,24,18,24,,,,,999,,
apsd_19,Integer,,Recommended,19. Does not show feelings or emotions,0::2; 999,25,19,25,,,,,999,,
apsd_20,Integer,,Recommended,20. Keeps the same friends,0::2; 999,26,20,26,,,,,999,,
apsd_cu_total,Integer,,Required,Callous-Unemotional total,,27,21,27,,,,,,,
apsd_cu_tscore,Integer,,Required,Callous-Unemotional T score,,28,,28,,,,,,,
apsd_nar_total,Integer,,Required,Narcissism total,,29,23,29,,,,,,,
apsd_nar_tscore,Integer,,Required,Narcissism T score,,30,,30,,,,,,,
apsd_imp_total,Integer,,Required,Impulsivity total,,31,26,31,,,,,,,
apsd_imp_tscore,Integer,,Required,Impulsivity T score,,32,,32,,,,,,,
apsd_totalscore,Integer,,Required,Total raw score,,33,27,33,,,,,,,
apsd_tscore,Integer,,Required,T score for total,,34,"1,2,3,4",34,,,sum,,,,0.8
